director_id	name
nm0000005	Ingmar Bergman
nm0000019	Federico Fellini
nm0000033	Alfred Hitchcock
nm0000037	Gene Kelly
nm0000040	Stanley Kubrick
nm0000041	Akira Kurosawa
nm0000080	Orson Welles
nm0000092	John Cleese
nm0000095	Woody Allen
nm0000102	Kevin Bacon
nm0000108	Luc Besson
nm0000110	Kenneth Branagh
nm0000111	Matthew Broderick
nm0000114	Steve Buscemi
nm0000116	James Cameron
nm0000118	John Carpenter
nm0000122	Charles Chaplin
nm0000126	Kevin Costner
nm0000127	Wes Craven
nm0000134	Robert De Niro
nm0000142	Clint Eastwood
nm0000149	Jodie Foster
nm0000154	Mel Gibson
nm0000158	Tom Hanks
nm0000164	Anthony Hopkins
nm0000165	Ron Howard
nm0000180	David Lean
nm0000184	George Lucas
nm0000186	David Lynch
nm0000198	Gary Oldman
nm0000199	Al Pacino
nm0000209	Tim Robbins
nm0000217	Martin Scorsese
nm0000228	Kevin Spacey
nm0000229	Steven Spielberg
nm0000231	Oliver Stone
nm0000233	Quentin Tarantino
nm0000241	Jean-Claude Van Damme
nm0000247	John Woo
nm0000264	Pedro Almodóvar
nm0000265	Robert Altman
nm0000269	Jean-Jacques Annaud
nm0000277	Richard Attenborough
nm0000316	Mel Brooks
nm0000318	Tim Burton
nm0000320	Luis Buñuel
nm0000338	Francis Ford Coppola
nm0000343	David Cronenberg
nm0000345	Billy Crystal
nm0000361	Brian De Palma
nm0000362	Danny DeVito
nm0000380	Robert Duvall
nm0000382	Atom Egoyan
nm0000386	Roland Emmerich
nm0000389	Emilio Estevez
nm0000399	David Fincher
nm0000406	John Ford
nm0000408	Jonathan Frakes
nm0000416	Terry Gilliam
nm0000419	Jean-Luc Godard
nm0000425	Peter Greenaway
nm0000431	Taylor Hackford
nm0000436	Curtis Hanson
nm0000454	Dennis Hopper
nm0000464	Jim Jarmusch
nm0000466	Jean-Pierre Jeunet
nm0000473	Diane Keaton
nm0000484	John Landis
nm0000485	Fritz Lang
nm0000487	Ang Lee
nm0000490	Spike Lee
nm0000500	Richard Linklater
nm0000519	David Mamet
nm0000520	Michael Mann
nm0000540	Russ Meyer
nm0000559	Leonard Nimoy
nm0000568	Frank Oz
