writer_id	name
nm0000005	Ingmar Bergman
nm0000019	Federico Fellini
nm0000033	Alfred Hitchcock
nm0000040	Stanley Kubrick
nm0000041	Akira Kurosawa
nm0000080	Orson Welles
nm0000092	John Cleese
nm0000095	Woody Allen
nm0000100	Rowan Atkinson
nm0000101	Dan Aykroyd
nm0000108	Luc Besson
nm0000110	Kenneth Branagh
nm0000114	Steve Buscemi
nm0000116	James Cameron
nm0000118	John Carpenter
nm0000120	Jim Carrey
nm0000122	Charles Chaplin
nm0000127	Wes Craven
nm0000129	Tom Cruise
nm0000131	John Cusack
nm0000158	Tom Hanks
nm0000175	Stephen King
nm0000184	George Lucas
nm0000186	David Lynch
nm0000188	Steve Martin
nm0000196	Mike Myers
nm0000198	Gary Oldman
nm0000199	Al Pacino
nm0000209	Tim Robbins
nm0000217	Martin Scorsese
nm0000230	Sylvester Stallone
nm0000231	Oliver Stone
nm0000233	Quentin Tarantino
nm0000241	Jean-Claude Van Damme
nm0000247	John Woo
nm0000255	Ben Affleck
nm0000264	Pedro Almodóvar
nm0000265	Robert Altman
nm0000269	Jean-Jacques Annaud
nm0000316	Mel Brooks
nm0000318	Tim Burton
nm0000320	Luis Buñuel
nm0000338	Francis Ford Coppola
nm0000341	Michael Crichton
nm0000343	David Cronenberg
nm0000345	Billy Crystal
nm0000354	Matt Damon
nm0000380	Robert Duvall
nm0000382	Atom Egoyan
nm0000386	Roland Emmerich
nm0000390	Joe Eszterhas
nm0000406	John Ford
nm0000416	Terry Gilliam
nm0000419	Jean-Luc Godard
nm0000425	Peter Greenaway
nm0000436	Curtis Hanson
nm0000455	John Hughes
nm0000464	Jim Jarmusch
nm0000466	Jean-Pierre Jeunet
nm0000484	John Landis
nm0000485	Fritz Lang
nm0000487	Ang Lee
nm0000490	Spike Lee
nm0000491	John Leguizamo
nm0000500	Richard Linklater
nm0000519	David Mamet
nm0000520	Michael Mann
nm0000540	Russ Meyer
nm0000552	Eddie Murphy
nm0000559	Leonard Nimoy
nm0000570	Alan Parker
nm0000576	Sean Penn
nm0000581	Joseph L. Mankiewicz
nm0000583	Wolfgang Petersen
nm0000590	Edgar Allan Poe
nm0000591	Roman Polanski
nm0000600	Sam Raimi
